fiscal_year,fy_end_year,state_parole_pop,state_parole_funding_2024,state_parole_cost_per_person_2024,county_supervision_pop,county_probation_budget_2024,county_supervision_cost_per_person_2024
2011-12,2012,61000,1039905195,17048,323493,1641295078,5074
2012-13,2013,48000,809983964,16875,344217,1798746359,5226
2013-14,2014,42670,662675634,15530,338016,1890040288,5592
2014-15,2015,43534,646676144,14855,315216,2005470695,6362
2015-16,2016,44161,758397121,17173,291874,2137760401,7324
2016-17,2017,45261,767704831,16962,285582,2204685420,7720
2017-18,2018,48651,835780865,17179,264979,2307441080,8708
2018-19,2019,51923,879226827,16933,245113,2321471911,9471
2019-20,2020,53427,926241321,17337,229533,2449276481,10671
2020-21,2021,50322,842050069,16733,194514,2371629813,12193
2021-22,2022,43825,827956568,18892,194202,2377357124,12242
2022-23,2023,35370,805224018,22766,196736,2286860413,11624
2023-24,2024,34660,789652436,22783,196649,2363190368,12017
