year,county_name,probation_pop,probation_budget_nominal,probation_budget_2024,cost_per_probationer_2024
2011,Alameda,14020,51583804,73172150,5219
2012,Alameda,13577,47725659,66000889,4861
2013,Alameda,13471,48144484,65399900,4855
2014,Alameda,9843,48460452,64847845,6588
2015,Alameda,8543,60815340,80693327,9446
2016,Alameda,7582,77745900,102422481,13509
2017,Alameda,6747,77667809,100590378,14909
2018,Alameda,5987,93205440,118037683,19716
2019,Alameda,6379,95174122,118009902,18500
2020,Alameda,4742,108307188,132309947,27902
2021,Alameda,2602,114433601,135730606,52164
2022,Alameda,1185,119438880,133124144,112341
2023,Alameda,2682,124864725,131344147,48972
2024,Alameda,2015,130623148,132649622,65831
2011,Alpine,31,281307,399037,12872
2012,Alpine,36,188831,261139,7254
2013,Alpine,45,211035,286672,6370
2014,Alpine,56,190967,255544,4563
2015,Alpine,74,188425,250013,3379
2016,Alpine,91,270270,356054,3913
2017,Alpine,79,273270,353922,4480
2018,Alpine,76,367556,465482,6125
2019,Alpine,54,410938,509537,9436
2020,Alpine,56,398824,487210,8700
2021,Alpine,54,386948,458962,8499
2022,Alpine,59,502826,560440,9499
2023,Alpine,49,663714,698155,14248
2011,Amador,467,1920869,2724772,5835
2012,Amador,1365,2213483,3061076,2243
2013,Amador,1375,2067879,2809025,2043
2014,Amador,1302,2080442,2783965,2138
2015,Amador,1327,2131982,2828838,2132
2016,Amador,1293,2052277,2703671,2091
2017,Amador,1261,2213953,2867370,2274
2018,Amador,1323,2673935,3386338,2560
2019,Amador,1274,2410579,2988966,2346
2020,Amador,1184,2415352,2950636,2492
2021,Amador,958,2590578,3072705,3207
2022,Amador,919,2832335,3156863,3435
2023,Amador,1030,2949977,3103056,3013
2024,Amador,1058,2885151,2929911,2769
2011,Butte,1542,8561778,12144969,7876
2012,Butte,1418,8917425,12332108,8697
2013,Butte,1506,9282452,12609366,8373
2014,Butte,1385,9296142,12439727,8982
2015,Butte,1255,10322804,13696896,10914
2016,Butte,1654,11501942,15152663,9161
2017,Butte,1235,14077909,18232807,14763
2018,Butte,1140,14824386,18773971,16468
2019,Butte,1156,16186105,20069748,17361
2020,Butte,925,15877551,19396293,20969
2021,Butte,791,15772012,18707309,23650
2022,Butte,918,16716430,18631793,20296
2023,Butte,1008,19139077,20132233,19972
2024,Butte,995,21223361,21552618,21661
2011,Calaveras,437,1654485,2346904,5370
2012,Calaveras,435,1818623,2515015,5782
2013,Calaveras,454,2088444,2836961,6249
2014,Calaveras,450,2359233,3157032,7016
2015,Calaveras,402,2329008,3090263,7687
2016,Calaveras,384,2363278,3113383,8108
2017,Calaveras,315,1442794,1868614,5932
2018,Calaveras,286,1536627,1946023,6804
2019,Calaveras,284,1631417,2022854,7123
2020,Calaveras,272,1806091,2206352,8112
2021,Calaveras,191,1964412,2330005,12199
2022,Calaveras,186,2155665,2402660,12918
2023,Calaveras,173,2019283,2124067,12278
2024,Calaveras,164,2035300,2066875,12603
2011,Colusa,148,1719815,2439575,16484
2012,Colusa,123,1877892,2596979,21114
2013,Colusa,140,1901528,2583053,18450
2014,Colusa,112,1821868,2437951,21767
2015,Colusa,128,1686348,2237545,17481
2016,Colusa,148,1390113,1831335,12374
2017,Colusa,147,1592376,2062344,14030
2018,Colusa,112,1839338,2329383,20798
2019,Colusa,102,1591569,1973445,19348
2020,Colusa,99,1891190,2310311,23336
2021,Colusa,58,2028843,2406427,41490
2022,Colusa,54,2052699,2287897,42368
2023,Colusa,50,2024734,2129801,42596
2024,Colusa,46,2013405,2044641,44449
2011,Contra Costa,3191,29159148,41362548,12962
2012,Contra Costa,3634,29133328,40289136,11087
2013,Contra Costa,3789,17798975,24178288,6381
2014,Contra Costa,3717,17631839,23594224,6348
2015,Contra Costa,3626,20221080,26830504,7399
2016,Contra Costa,3469,21126667,27832280,8023
2017,Contra Costa,3624,19685546,25495460,7035
2018,Contra Costa,3745,21419824,27126597,7243
2019,Contra Costa,3838,22669976,28109339,7324
2020,Contra Costa,3771,24126388,29473216,7816
2021,Contra Costa,3000,25556283,30312511,10104
2022,Contra Costa,2702,26734928,29798206,11028
2023,Contra Costa,1931,27842124,29286894,15167
2024,Contra Costa,2003,31786994,32280134,16116
2011,Del Norte,185,1356032,1923545,10398
2012,Del Norte,190,1239583,1714247,9022
2013,Del Norte,206,1600363,2173947,10553
2014,Del Norte,243,1535664,2054964,8457
2015,Del Norte,238,1637008,2172077,9126
2016,Del Norte,260,1804196,2376849,9142
2017,Del Norte,211,1775834,2299947,10900
2018,Del Norte,244,1890320,2393948,9811
2019,Del Norte,232,2198072,2725470,11748
2020,Del Norte,191,2299357,2808935,14706
2021,Del Norte,178,2136800,2534476,14239
2022,Del Norte,164,2150955,2397411,14618
2023,Del Norte,171,2024003,2129032,12450
2011,El Dorado,1119,6526531,9257951,8273
2012,El Dorado,1132,6672670,9227786,8152
2013,El Dorado,1126,7030721,9550595,8482
2014,El Dorado,1131,7546056,10097831,8928
2015,El Dorado,1107,9025454,11975497,10818
2016,El Dorado,1035,9820922,12938087,12501
2017,El Dorado,981,10238082,13259709,13517
2018,El Dorado,957,10708626,13561670,14171
2019,El Dorado,940,11735566,14551361,15480
2020,El Dorado,860,12912605,15774263,18342
2021,El Dorado,833,12729722,15098825,18126
2022,El Dorado,806,13061156,14557699,18062
2023,El Dorado,583,14804364,15572585,26711
2024,El Dorado,434,16376530,16630594,38319
2011,Fresno,6257,24566596,34847966,5569
2012,Fresno,6352,25588742,35387248,5571
2013,Fresno,7220,28878450,39228746,5433
2014,Fresno,7903,29397711,39338845,4978
2015,Fresno,7715,32516031,43144159,5592
2016,Fresno,9337,31562697,41580710,4453
2017,Fresno,8676,36977000,47890245,5520
2018,Fresno,8987,42204000,53448193,5947
2019,Fresno,8265,47475000,58866002,7122
2020,Fresno,7867,49293000,60217187,7654
2021,Fresno,7623,52142085,61846142,8113
2022,Fresno,7897,52786294,58834528,7450
2023,Fresno,7839,56168392,59083056,7537
2024,Fresno,7276,59664682,60590314,8327
2011,Glenn,1760,1283464,1820607,1034
2012,Glenn,670,1300794,1798897,2685
2013,Glenn,334,1556032,2113728,6329
2014,Glenn,233,1813441,2426674,10415
2015,Glenn,206,1611042,2137624,10377
2016,Glenn,255,1758996,2317302,9087
2017,Glenn,267,1920321,2487077,9315
2018,Glenn,267,2423216,3068821,11494
2019,Glenn,267,2726649,3380873,12662
2020,Glenn,250,2466279,3012849,12051
2021,Glenn,205,2624971,3113499,15188
2022,Glenn,282,2819836,3142932,11145
2023,Glenn,254,2737032,2879061,11335
2024,Glenn,238,3455476,3509084,14744
2011,Humboldt,1547,5329795,7560368,4887
2012,Humboldt,1597,5758313,7963301,4986
2013,Humboldt,1527,6475445,8796303,5761
2014,Humboldt,1250,7183893,9613199,7691
2015,Humboldt,1076,6937213,9204697,8555
2016,Humboldt,1104,7928245,10444673,9461
2017,Humboldt,1169,7747730,10034364,8584
2018,Humboldt,1176,8406746,10646512,9053
2019,Humboldt,1195,8570852,10627315,8893
2020,Humboldt,1023,0,0,0
2021,Humboldt,1025,0,0,0
2022,Humboldt,916,8399405,9361806,10220
2023,Humboldt,1027,8648561,9097348,8858
2024,Humboldt,1127,9126847,9268440,8224
2011,Imperial,1897,5325201,7553852,3982
2012,Imperial,2109,5871455,8119767,3850
2013,Imperial,2388,8307570,11285078,4726
2014,Imperial,2773,8566723,11463647,4134
2015,Imperial,3051,8053980,10686489,3503
2016,Imperial,3218,9334449,12297207,3821
2017,Imperial,3360,10834635,14032326,4176
